product_name,hsncode,gst,MRP,saleprice,purchase price,sub_category,category,patanjali_cat,box_size,
CHOCOLATE SOANPAPDI 250 G-T,21069099,5.00,60.00,50.79,48.26,SOANPAPDI,BISCUIT & CONFFECTIONARY,FOOD,24,
CHYAWANPRASH 1 KG,30049011,12.00,190.00,141.37,133.87,CHYAWANPRASH,JUICES & NATURAL BEVERAGES,FOOD,12,
COCONUT OIL 200 ML (B),33059019,18.00,75.00,56.50,53.35,HAIR OIL,NATURAL PERSONAL CARE,NON FOOD,36,
COCONUT OIL 200 ML (J),33059019,18.00,72.00,54.24,51.22,HAIR OIL,NATURAL PERSONAL CARE,NON FOOD,36,
CORIANDER POWDER 100 G,09109100,5.00,20.00,16.93,16.09,SPICES,RICE/PULSES/SPICES,FOOD,60,
COWS GHEE 1 L,04059020,12.00,560.00,476.19,455.77,GHEE,PHYSICAL OIL & GHEE,FOOD,15,
COWS GHEE 500 ML,04059020,12.00,290.00,246.60,236.02,GHEE,PHYSICAL OIL & GHEE,FOOD,30,
CRACK HEAL CREAM 50 G,33049990,18.00,60.00,45.20,42.68,SKIN CARE,NATURAL PERSONAL CARE,NON FOOD,96,
CUMIN SEED 100 G,09093100,5.00,40.00,33.86,32.17,SPICES,RICE/PULSES/SPICES,FOOD,60,
DALIA 500 G,11031900,5.00,22.00,18.62,17.70,DALIA,FLOUR & SUGAR,FOOD,30,
DANT KANTI DENTAL CREAM JUNIOR 100 G,33061020,18.00,35.00,26.96,25.46,DANT KANTI,HOME CARE,NON FOOD,96,
DANT KANTI DENTAL CREAM(REGULAR) 100 G,33061020,18.00,40.00,30.82,29.10,DANT KANTI,HOME CARE,NON FOOD,96,
DANT KANTI DENTAL CREAM(REGULAR) 200 G,33061020,18.00,75.00,57.78,54.56,DANT KANTI,HOME CARE,NON FOOD,48,
DANT KANTI DENTAL CREAM(REGULAR) 25GM,33061020,18.00,10.00,7.70,7.27,DANT KANTI,HOME CARE,NON FOOD,192,
DANT KANTI MEDICATED ORAL GEL 100 G,30049011,12.00,45.00,36.53,34.59,DANT KANTI,HOME CARE,NON FOOD,96,
DRISHTI EYE DROP 15 ML,30049011,12.00,25.00,18.60,17.61,DRISHTI EYE DROP,NATURAL PERSONAL CARE,NON FOOD,240,
FACE WASH(ORNG+ALOE) 60 G,34013090,18.00,45.00,33.90,32.01,FACE WASH,NATURAL PERSONAL CARE,NON FOOD,96,
FENUGREEK SEED 100 G,09109912,5.00,20.00,16.93,16.09,SPICES,RICE/PULSES/SPICES,FOOD,60,
GARAM MASALA 100 G,09109100,5.00,65.00,51.59,49.01,SPICES,RICE/PULSES/SPICES,FOOD,60,
GILOY AMLA JUICE 500 ML,30049011,12.00,90.00,66.96,63.41,GILOY AMLA JUICE,JUICES & NATURAL BEVERAGES,FOOD,12,
GILOY GHAN VATI 40 G,30049011,12.00,90.00,66.96,63.41,VATI,JUICES & NATURAL BEVERAGES,FOOD,400,
GILOY JUICE 500 ML,30049011,12.00,80.00,59.52,56.37,GILOY JUICE,JUICES & NATURAL BEVERAGES,FOOD,12,
GUAVA JAM 500 G,20079920,12.00,130.00,100.06,94.76,JAM,BISCUIT & CONFFECTIONARY,FOOD,12,
GUAVA JUICE 1000 ML-T,22029020,12.00,85.00,65.42,61.96,FRUIT JUICE,JUICES & NATURAL BEVERAGES,FOOD,12,
GUAVA JUICE 200ML  - T,22029020,12.00,20.00,15.39,14.58,FRUIT JUICE,JUICES & NATURAL BEVERAGES,FOOD,27,
GULAB SHARBAT 750 ML,21069011,18.00,100.00,70.62,66.69,SHARBAT SQUASH THANDAI,JUICES & NATURAL BEVERAGES,FOOD,12,
HAIR CONDITIONER ALMOND 100 G,33059090,18.00,60.00,45.20,42.68,HAIR CONDITIONER,NATURAL PERSONAL CARE,NON FOOD,96,
HAIR CONDITIONER DAMAGE CONTROL 100 G,33059090,18.00,60.00,45.20,42.68,HAIR CONDITIONER,NATURAL PERSONAL CARE,NON FOOD,96,
HAIR CONDITIONER PROTIEN 100 G,33059090,18.00,60.00,45.20,42.68,HAIR CONDITIONER,NATURAL PERSONAL CARE,NON FOOD,96,
HALDI CHANDAN KANTI BODY CLEANSER 75 G,34011941,18.00,15.00,11.77,11.11,BATHING SOAP,HOME CARE,NON FOOD,144,
HARAD MURABBA 1 KG,20071010,12.00,150.00,111.61,105.69,MURRABBA,BISCUIT & CONFFECTIONARY,FOOD,12,
HERBAL GULAAL GREEN-100 GM,#N/A,18.00,25.00,18.83,17.78,GULAAL,#N/A,0,100,
HERBAL GULAAL PINK -100 GM,#N/A,18.00,25.00,18.83,17.78,GULAAL,#N/A,0,100,
HERBAL GULAAL RED-100 GM,#N/A,18.00,25.00,18.83,17.78,GULAAL,#N/A,0,100,
HERBAL GULAAL YELLOW-100 GM,#N/A,18.00,25.00,18.83,17.78,GULAAL,#N/A,0,100,
HERBAL HANDWASH (ANTI BACTERIAL) 200 ML,34013019,18.00,45.00,33.90,32.01,HAND WASH,NATURAL PERSONAL CARE,NON FOOD,48,
HERBAL HANDWASH (ANTI BACTERIAL) 250 ML,34013019,18.00,60.00,45.20,42.68,HAND WASH,NATURAL PERSONAL CARE,NON FOOD,30,
HERBAL KAJAL 3 G,33042000,18.00,90.00,67.80,64.02,HERBAL KAJAL,NATURAL PERSONAL CARE,NON FOOD,144,
HERBAL MEHANDI 100G,33059040,18.00,35.00,26.37,24.90,HERBAL MEHANDI,NATURAL PERSONAL CARE,NON FOOD,60,
HERBAL SHAVE GEL 50 G,33071090,18.00,40.00,30.13,28.45,SHAVE GEL & CREAM,NATURAL PERSONAL CARE,NON FOOD,96,
HERBAL SHAVING CREAM 100 G,33071010,18.00,55.00,41.43,39.12,SHAVE GEL & CREAM,NATURAL PERSONAL CARE,NON FOOD,72,
GONYLE FLOOR CLEANER - 1 LTR,38084000,18.00,50.00,37.66,35.57,GONYLE,HOME CARE,NON FOOD,12,
HING GOLI 100 G,30049011,12.00,55.00,40.92,38.75,DIGESTIVES,JUICES & NATURAL BEVERAGES,FOOD,100,
HING PEDA 100 G,30049011,12.00,35.00,26.04,24.66,DIGESTIVES,JUICES & NATURAL BEVERAGES,FOOD,100,
HING PEDA 200 G,30049011,12.00,60.00,44.64,42.28,DIGESTIVES,JUICES & NATURAL BEVERAGES,FOOD,60,
HONEY (MULTIFLORA) 250G,'04090000,5.00,75.00,59.52,56.55,HONEY,JUICES & NATURAL BEVERAGES,FOOD,40,
HONEY 1 KG,'04090000,5.00,260.00,206.35,196.06,HONEY,JUICES & NATURAL BEVERAGES,FOOD,12,
HONEY 250 G,'04090000,5.00,70.00,55.56,52.78,HONEY,JUICES & NATURAL BEVERAGES,FOOD,40,
HONEY 500 G,'04090000,5.00,135.00,107.14,101.80,HONEY,JUICES & NATURAL BEVERAGES,FOOD,20,
ISABGOL 100 G,30049011,12.00,90.00,71.43,67.64,ISABGOL BHUSI,JUICES & NATURAL BEVERAGES,FOOD,50,
JAL JEERA 200 G,09109100,5.00,60.00,47.62,45.24,DIGESTIVES,JUICES & NATURAL BEVERAGES,FOOD,40,
JAMUN VINEGAR 500 ML,22090090,18.00,70.00,49.44,46.68,JAMUN SIRKA,JUICES & NATURAL BEVERAGES,FOOD,12,
JEERA KHATTI - MEETHI GOLI 100 G,30049011,12.00,35.00,26.04,24.66,DIGESTIVES,JUICES & NATURAL BEVERAGES,FOOD,100,
KADHI MASALA 100 G,09109100,5.00,60.00,50.79,48.26,SPICES,RICE/PULSES/SPICES,FOOD,60,
KAPARDHAK 10 G,30049011,12.00,20.00,14.88,NOTFORRETAIL,BHASM,JUICES & NATURAL BEVERAGES,FOOD,200,
KARELA AMLA JUICE 500 ML,30049011,12.00,75.00,55.80,52.84,KARELA AMLA JUICE,JUICES & NATURAL BEVERAGES,FOOD,12,
KESAR 1 G,09102010,5.00,300.00,253.97,241.30,KESAR,RICE/PULSES/SPICES,FOOD,288,
KESAR BADAM SHARBAT 750 ML,21069011,18.00,140.00,98.87,93.36,SHARBAT SQUASH THANDAI,JUICES & NATURAL BEVERAGES,FOOD,12,
KESH KANTI H. CLEANSER A.DANDRUFF 200 ML,33051090,18.00,110.00,82.86,78.25,KESH KANTI SHAMPOO,NATURAL PERSONAL CARE,NON FOOD,36,
KESH KANTI H. CLEANSER M.PROTIEN 200 ML,33051090,18.00,95.00,71.56,67.58,KESH KANTI SHAMPOO,NATURAL PERSONAL CARE,NON FOOD,36,
KESH KANTI HAIR CLEANSER A.DANDRUF 8 ML,33051090,18.00,3.00,2.15,2.03,KESH KANTI SHAMPOO,NATURAL PERSONAL CARE,NON FOOD,960,
KESH KANTI HAIR CLEANSER M. PROTIEN 8 ML,33051090,18.00,3.00,2.15,2.03,KESH KANTI SHAMPOO,NATURAL PERSONAL CARE,NON FOOD,960,
KESH KANTI HAIR CLEANSER NATURAL 100 ML,33051090,18.00,35.00,26.37,24.90,KESH KANTI SHAMPOO,NATURAL PERSONAL CARE,NON FOOD,60,
KESH KANTI HAIR CLEANSER NATURAL 200 ML,33051090,18.00,75.00,56.50,53.35,KESH KANTI SHAMPOO,NATURAL PERSONAL CARE,NON FOOD,36,
KESH KANTI HAIR CLEANSER NATURAL 8 ML,33051090,18.00,2.00,1.44,1.36,KESH KANTI SHAMPOO,NATURAL PERSONAL CARE,NON FOOD,960,
KESH KANTI HAIR CLEANSER REETHA 200 ML,33051090,18.00,85.00,64.03,60.46,KESH KANTI SHAMPOO,NATURAL PERSONAL CARE,NON FOOD,36,
KESH KANTI HAIR CLEANSER REETHA 8 ML,33051090,18.00,3.00,2.15,2.03,KESH KANTI SHAMPOO,NATURAL PERSONAL CARE,NON FOOD,960,
KESH KANTI HAIR CLEANSER SHIKAKAI 200ml,33051090,18.00,95.00,71.56,67.58,KESH KANTI SHAMPOO,NATURAL PERSONAL CARE,NON FOOD,36,
KESH KANTI HAIR OIL 120 ML,33059019,18.00,130.00,97.93,92.47,KK HAIR OIL,NATURAL PERSONAL CARE,NON FOOD,72,
KHUS SHARBAT 750 ML,21069011,18.00,100.00,70.62,66.69,SHARBAT SQUASH THANDAI,JUICES & NATURAL BEVERAGES,FOOD,12,
LAUKI AMLA JUICE 1 L,30049011,12.00,90.00,66.96,63.41,LAUKI AMLA JUICE,JUICES & NATURAL BEVERAGES,FOOD,12,
LEMON HONEY FACEWASH 60 G,34013090,18.00,45.00,33.90,32.01,FACE WASH,NATURAL PERSONAL CARE,NON FOOD,96,
LEMON HONEY KANTI BODY CLEANSER 75 G,34011941,18.00,20.00,15.69,14.82,BATHING SOAP,HOME CARE,NON FOOD,144,
LEMON PICKLE 400 G,20019000,12.00,65.00,51.59,48.85,PICKLE,BISCUIT & CONFFECTIONARY,FOOD,12,
LEMON SQUASH 750 ML,20089912,12.00,80.00,63.49,60.13,SHARBAT SQUASH THANDAI,JUICES & NATURAL BEVERAGES,FOOD,12,
LEUCORRHEA SYRUP 200 ML,30049011,12.00,75.00,55.80,52.84,SYRUP,JUICES & NATURAL BEVERAGES,FOOD,36,
LICHI HONEY 500 G,'04090000,5.00,155.00,123.02,116.88,HONEY,JUICES & NATURAL BEVERAGES,FOOD,12,
LITCHI JUICE 1000 ML-T,22029020,12.00,85.00,65.42,61.96,FRUIT JUICE,JUICES & NATURAL BEVERAGES,FOOD,12,
LITCHI JUICE 200ML  - T,22029020,12.00,20.00,15.39,14.58,FRUIT JUICE,JUICES & NATURAL BEVERAGES,FOOD,27,
LIV D-38 SYRUP 200 ML,30049011,12.00,75.00,55.80,52.84,SYRUP,JUICES & NATURAL BEVERAGES,FOOD,36,
LIV D-38 TABLET  60 TABLETS,30049011,12.00,70.00,52.08,49.32,TABLET,JUICES & NATURAL BEVERAGES,FOOD,240,
LOHASAV 450 ML,30049011,12.00,85.00,63.24,NOTFORRETAIL,LOHASAV,JUICES & NATURAL BEVERAGES,FOOD,20,
MADHURAM 1 KG,17011410,0.00,60.00,56.07,53.40,MADHURAM,FLOUR & SUGAR,FOOD,30,
MADHURAM 2 KG,17011410,0.00,120.00,112.15,106.81,MADHURAM,FLOUR & SUGAR,FOOD,15,
MANGO CANDY 250 G,08129010,5.00,55.00,43.65,41.47,CANDY,BISCUIT & CONFFECTIONARY,FOOD,24,
MANGO DRINK 1 L,22029020,12.00,50.00,38.49,36.44,FRUIT JUICE,JUICES & NATURAL BEVERAGES,FOOD,12,
MANGO DRINK 500 ML,22029020,12.00,30.00,23.09,21.87,FRUIT JUICE,JUICES & NATURAL BEVERAGES,FOOD,24,
MANGO JUICE 1000 ML -T,22029020,12.00,85.00,65.42,61.96,FRUIT JUICE,JUICES & NATURAL BEVERAGES,FOOD,12,
MANGO JUICE 200 ML -T,22029020,12.00,20.00,15.39,14.58,FRUIT JUICE,JUICES & NATURAL BEVERAGES,FOOD,27,
MANGO PANNA 750 ML,21069011,18.00,95.00,69.40,65.54,SHARBAT SQUASH THANDAI,JUICES & NATURAL BEVERAGES,FOOD,12,
MANGO SHARBAT 750 ML,21069011,18.00,110.00,77.68,73.36,SHARBAT SQUASH THANDAI,JUICES & NATURAL BEVERAGES,FOOD,12,
MANGO SQUASH 750 ML,20089911,12.00,80.00,63.49,60.13,SHARBAT SQUASH THANDAI,JUICES & NATURAL BEVERAGES,FOOD,12,
MARIE BISCUIT (300 GM) - T,19053100,18.00,30.00,22.60,21.34,BISCUITS,BISCUIT & CONFFECTIONARY,FOOD,30,
MARIE BISCUIT (120 GM) - T,19053100,18.00,12.00,9.04,8.54,BISCUITS,BISCUIT & CONFFECTIONARY,FOOD,80,
MENORRHAGIA SYRUP 200 ML,30049011,12.00,80.00,59.52,56.37,SYRUP,JUICES & NATURAL BEVERAGES,FOOD,36,
METHI NIMBU 100 G,30049011,12.00,35.00,26.04,24.66,DIGESTIVES,JUICES & NATURAL BEVERAGES,FOOD,100,
MINT TULSI BODY CLEANSER 75 G,34011941,18.00,24.00,18.83,17.78,BATHING SOAP,HOME CARE,NON FOOD,144,
MIX FRUIT JUICE 1000 ML -T,22029020,12.00,85.00,65.42,61.96,FRUIT JUICE,JUICES & NATURAL BEVERAGES,FOOD,12,
MIX FRUIT JUICE 200ML  - T,22029020,12.00,20.00,15.39,14.58,FRUIT JUICE,JUICES & NATURAL BEVERAGES,FOOD,27,
MIXED FRUIT JAM 500 G,20079990,12.00,75.00,57.73,54.67,JAM,BISCUIT & CONFFECTIONARY,FOOD,12,
MOGRA BODY CLEANSER 75 G,34011941,18.00,25.00,19.62,18.52,BATHING SOAP,HOME CARE,NON FOOD,144,
MOISTURIZER CREAM 50 G,33049910,18.00,75.00,56.50,53.35,SKIN CARE,NATURAL PERSONAL CARE,NON FOOD,72,
MULTANI MITTI BODY CLEANSER 75 G,34011941,18.00,35.00,27.46,25.93,BATHING SOAP,HOME CARE,NON FOOD,144,
MUSLI PAK 200 G,30049011,12.00,350.00,260.42,246.61,MUSLI PAK,JUICES & NATURAL BEVERAGES,FOOD,24,
MUSTARD OIL 1 L (B)-T,15149920,5.00,115.00,102.36,98.23,MUSTARD OIL,PHYSICAL OIL & GHEE,FOOD,12,
MUSTARD OIL 1 L (P)-T,15149920,5.00,110.00,97.91,93.96,MUSTARD OIL,PHYSICAL OIL & GHEE,FOOD,12,
MUSTARD OIL 5 L (J)-T,15149920,5.00,570.00,517.01,496.17,MUSTARD OIL,PHYSICAL OIL & GHEE,FOOD,4,
NAMAK 1 KG -T,25010010,0.00,12.00,11.21,10.68,NAMAK,FLOUR & SUGAR,FOOD,50,
NAMKEEN BISCUITS 40 G -T,19059020,18.00,5.00,3.77,3.56,BISCUITS,BISCUIT & CONFFECTIONARY,FOOD,100,
NAMKEEN BISCUITS 80 G -T,19059020,18.00,10.00,7.53,7.11,BISCUITS,BISCUIT & CONFFECTIONARY,FOOD,50,
NARIYAL BISCUITS 100 GM -T,19053100,18.00,10.00,7.53,7.11,BISCUITS,BISCUIT & CONFFECTIONARY,FOOD,100,
NAVRATNA ATTA 2 KG,11010000,5.00,140.00,124.61,118.39,ATTA,FLOUR & SUGAR,FOOD,20,
NAVRATNA ATTA 5 KG,11010000,5.00,250.00,222.52,211.42,ATTA,FLOUR & SUGAR,FOOD,8,
NEEM ALOEVERA FACE WASH 60 G -T,34013090,18.00,45.00,33.90,32.01,FACE WASH,NATURAL PERSONAL CARE,NON FOOD,96,
NEEM KANTI BODY CLEANSER 75 G,34011941,18.00,15.00,11.77,11.11,BATHING SOAP,HOME CARE,NON FOOD,144,
NEEM TULSI FACE WASH 60 G,34013090,18.00,45.00,33.90,32.01,FACE WASH,NATURAL PERSONAL CARE,NON FOOD,96,
NIMB GHAN VATI 40 G,30049011,12.00,90.00,66.96,NOTFORRETAIL,VATI,JUICES & NATURAL BEVERAGES,FOOD,400,
ORANGE DELITE BISCUITS -T,19053100,18.00,10.00,7.53,7.11,BISCUITS,BISCUIT & CONFFECTIONARY,FOOD,100,
